GeneID	ReadLen50
chr1.24117645.24122029.NM_007260.+	100
chr1.16330730.16333184.NM_178840.+	87.4012
chr1.24122088.24127034.NM_000403.-	96.4672
chr1.17081400.17090975.NR_002729.-	7.16985
chr1.24122088.24127294.NM_001008216.-	96.6453
chr1.24255559.24255637.NR_039615.+	100
chr1.24286300.24289949.NM_017761.+	41.75
chr1.26146444.26150097.NR_024498.-	92.5361
chr1.26187974.26197744.NM_178422.-	83.9831
chr1.17185443.17185516.NR_037446.-	50
chr1.26226606.26232644.NM_203401.-	97.0446
chr1.26232852.26232945.NR_037481.-	100
chr1.28655512.28662478.NM_017638.+	79.1528
chr1.901876.910484.NM_001160184.+	96.8688
chr1.26485510.26489119.NM_024869.+	94.6348
chr1.27237974.27240567.NM_021969.-	95.283
chr1.25568739.25573985.NM_020317.-	96.0939
chr1.27695600.27701315.NM_173452.-	83.551
chr1.27719151.27722317.NM_005281.+	100
chr1.28286503.28294604.NM_018053.+	96.5102
chr1.28906892.28907024.NR_002976.-	93.9759
chr1.13495253.13498259.NM_001045480.+	1.04836
chr1.28907431.28907565.NR_003035.-	100
chr1.27705595.27709805.NM_207397.-	100
chr1.28975111.28975246.NR_004407.+	100
chr1.31191618.31199593.NR_034182.+	100
